,blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
18,25646,303,76,29153,29530,390,79,30285,26,2,0,0,0,0,0,1,0,11,13,15,27,4,1,0,0,0,2,0,0,15,17,11,1626908259545,red,NA1_3984899678
19,25431,308,62,28516,23834,331,95,26632,29,5,1,0,0,1,0,0,0,13,23,3,22,6,0,0,0,0,1,1,0,3,2,13,1631597055352,blue,NA1_4041871320
20,22032,294,60,26897,28274,315,98,29520,16,5,0,0,0,0,0,0,0,7,6,14,19,2,0,0,1,1,2,1,0,14,19,7,1633319937402,red,NA1_4061221120
21,23772,272,67,26473,33397,337,108,34052,22,4,0,0,0,0,0,0,0,8,9,26,23,2,0,1,0,0,0,1,0,26,19,8,1630262954800,red,NA1_4026523245
22,26263,289,72,27674,27154,303,72,29049,20,4,0,0,1,1,0,0,0,16,22,15,22,6,0,0,0,0,1,1,0,15,11,16,1632199561663,blue,NA1_4048325707
23,28211,327,64,31541,30050,327,111,32816,24,5,0,0,0,0,1,0,0,16,11,19,23,4,1,0,0,0,1,1,0,19,12,16,1631594850454,red,NA1_4041816503
24,25532,248,106,27626,29831,327,95,31058,20,2,0,0,0,0,0,1,0,10,10,20,20,3,1,0,0,0,0,0,0,20,20,10,1635099484029,red,NA1_4080540735
25,21612,322,86,25950,30374,335,84,32666,21,3,0,0,0,0,0,0,0,4,2,16,22,8,0,0,1,1,2,0,0,16,17,4,1634069160551,red,NA1_4069417675
26,23309,339,60,27459,28939,341,81,29325,20,8,0,0,0,0,0,0,0,8,5,20,28,3,1,0,1,0,0,0,0,20,21,8,1635716880259,red,NA1_4087492483
27,28928,303,66,28527,21353,226,71,26402,33,6,1,0,0,0,1,1,0,17,15,8,25,4,0,0,0,0,0,0,0,8,5,17,1629774760069,blue,NA1_4020908464
28,25673,305,91,29189,26715,287,84,28851,25,4,0,0,0,0,0,0,0,12,12,11,17,5,1,0,1,0,1,1,0,11,9,12,1635630217341,red,NA1_4086340936
29,19906,282,63,24683,29870,364,88,32111,20,4,0,0,0,0,0,0,0,3,3,15,23,6,0,0,0,1,1,0,0,15,18,3,1631643900705,red,NA1_4042226457
30,25490,288,83,29113,26676,313,65,28854,19,4,0,0,0,0,0,0,0,13,19,10,27,5,1,1,0,0,1,1,0,10,10,13,1632107823102,red,NA1_4047482110
31,22499,299,89,27800,33594,360,74,31854,20,4,0,1,0,0,1,0,0,7,6,22,26,3,0,0,0,1,2,1,0,22,28,7,1633292560995,red,NA1_4060772904
32,28951,322,83,29719,29869,282,103,31015,27,2,0,0,0,0,2,0,0,18,11,18,22,4,0,0,1,1,2,1,0,18,22,18,1632881801300,red,NA1_4056126536
33,24955,329,98,31775,23931,346,100,29803,19,4,0,0,0,0,0,1,0,9,10,5,23,3,0,0,0,1,0,0,0,5,5,9,1634053388340,blue,NA1_4069342002
34,27649,333,77,28879,27405,325,82,30809,29,6,1,0,0,1,1,1,0,13,13,13,25,8,0,0,0,0,1,0,0,13,11,13,1633287232255,blue,NA1_4060713305
35,24482,325,84,28488,34222,329,87,34938,23,5,0,0,0,1,0,0,0,8,6,25,24,8,0,0,1,0,3,1,0,25,28,8,1632661987907,red,NA1_4053526417
36,24311,236,67,27139,28485,292,84,30216,22,5,1,0,0,1,0,0,0,11,11,15,26,2,0,0,0,0,1,1,0,15,12,11,1634957340101,red,NA1_4078833392
37,26222,364,85,30870,27807,333,81,33094,27,6,0,0,0,0,0,1,0,11,8,18,24,7,1,0,0,0,0,0,0,18,17,11,1634092656553,red,NA1_4069677834
38,25358,383,95,31146,24903,339,104,30720,25,5,0,0,0,0,1,1,0,6,9,10,25,7,0,0,1,1,0,0,0,10,9,6,1629847930138,red,NA1_4021738776
39,29961,299,92,29749,29296,305,73,28416,23,4,1,1,0,0,1,0,0,19,26,16,23,6,0,0,0,0,1,1,0,16,19,19,1631648908397,red,NA1_4042450465
40,28749,283,74,30744,28884,315,90,30548,21,7,0,0,0,0,1,0,0,20,14,15,22,3,0,1,1,0,2,1,0,15,16,20,1633046886955,blue,NA1_4057990128
41,27951,259,84,29434,31139,309,64,28899,21,4,0,0,0,0,1,1,0,14,21,21,28,0,1,0,1,0,3,0,1,21,24,14,1636670844409,red,NA1_4100061227
42,29670,349,87,30825,22712,276,56,26537,22,8,0,0,0,1,2,1,0,14,8,9,29,6,1,0,0,0,0,0,0,9,15,14,1632802054276,blue,NA1_4055366226
43,25334,276,64,24671,23248,234,64,22619,22,5,1,0,0,0,0,0,0,14,26,11,25,4,0,1,0,0,0,1,0,11,19,14,1634526357531,blue,NA1_4074441749
44,30500,308,71,29622,25038,280,82,26526,26,7,0,0,0,0,1,0,0,19,25,12,23,12,1,1,0,0,0,0,0,12,18,19,1634512290549,blue,NA1_4074231475
45,24367,306,87,28886,27989,313,94,29981,26,9,0,1,0,0,0,0,0,11,11,14,30,2,0,0,0,0,1,1,0,14,16,11,1631592828058,blue,NA1_4041800957
46,20700,305,65,24582,28659,341,82,29610,32,5,0,0,1,0,0,0,0,2,5,12,25,7,0,1,0,0,3,1,0,12,15,2,1634826725890,blue,NA1_4077566898
47,22672,299,76,27348,29259,382,79,31960,26,3,0,0,0,0,0,1,0,6,6,16,22,3,0,0,1,0,1,0,0,16,19,6,1635714546558,red,NA1_4087439725
48,26709,301,95,28604,30580,303,81,31368,29,6,1,0,0,0,0,1,0,14,12,19,23,8,0,1,0,0,1,0,0,19,19,14,1633317890593,red,NA1_4061183704
49,23419,326,53,28001,26093,379,106,30215,23,4,0,0,0,0,1,1,0,6,5,7,24,1,0,1,0,0,1,0,0,7,4,6,1632664206082,red,NA1_4053518111
50,28209,295,112,29517,29034,319,73,29888,24,4,0,0,0,0,1,1,0,14,10,19,23,6,0,1,0,0,0,0,0,19,19,14,1634954566309,red,NA1_4078758776
51,33478,317,73,31160,24431,232,72,25555,28,4,1,0,1,0,2,1,0,27,27,11,21,2,0,0,0,0,0,0,0,11,13,27,1633285006972,blue,NA1_4060688754
52,25862,300,88,29293,28474,311,76,31069,25,6,0,0,0,0,0,1,0,12,7,14,25,4,1,0,0,1,1,0,0,14,16,12,1628186642170,blue,NA1_4001324676
53,25892,294,78,28442,29004,345,75,31181,27,4,0,0,0,1,0,0,0,14,12,18,22,6,0,0,1,0,0,0,0,18,17,14,1633575381049,red,NA1_4064066079
