,blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
163,25040,302,71,27174,26701,355,92,29507,25,6,1,0,0,0,1,1,0,11,11,9,27,5,0,0,0,0,1,0,0,9,9,11,1632504995590,red,NA1_4051407115
164,27662,330,70,27798,30355,323,77,29982,25,6,0,1,0,0,0,0,0,16,25,19,25,5,0,0,1,0,2,0,0,19,23,16,1628215919434,red,NA1_4001675129
165,23113,310,60,24510,27023,343,72,27024,28,8,0,0,0,0,1,1,0,6,7,12,27,10,0,0,1,0,1,0,0,12,17,6,1631429940097,red,NA1_4040127820
166,28822,300,68,31035,29536,310,79,29318,22,3,0,0,0,1,0,0,0,19,20,18,21,3,0,0,0,0,1,0,0,18,16,19,1629653030538,red,NA1_4019324504
167,25828,325,63,28330,32485,403,72,30860,24,5,0,0,0,1,0,0,0,10,10,16,25,7,0,0,1,0,3,1,0,16,17,10,1629419701784,red,NA1_4016502375
168,27172,338,48,27780,27486,348,88,29309,25,5,0,0,0,0,1,0,0,14,12,15,27,7,0,1,0,0,0,0,0,15,15,14,1629089929412,blue,NA1_4012472645
169,23272,352,86,28355,27907,341,87,29084,22,5,0,0,0,0,0,0,0,6,3,14,30,1,1,0,0,0,1,1,0,14,21,6,1627022238952,red,NA1_3986402321
170,27717,330,92,29310,22768,314,76,27520,32,9,0,0,0,0,1,0,0,13,11,6,26,7,0,0,0,1,0,0,0,6,8,13,1626417983592,blue,NA1_3978899848
171,28037,348,77,29905,26542,347,81,28691,32,10,0,0,0,0,2,1,0,12,13,9,28,8,1,0,0,0,1,0,0,9,13,12,1628923783135,blue,NA1_4010547086
172,19494,192,48,18439,34124,317,76,30592,19,5,0,0,0,0,0,0,0,5,5,22,22,7,1,0,0,1,6,1,1,22,28,5,1628835557632,red,NA1_4009288910
173,24775,328,101,30727,25567,313,76,26385,27,4,0,0,1,0,0,0,0,9,6,8,27,7,1,0,0,0,1,0,0,8,9,9,1632084457991,red,NA1_4046856619
174,28252,333,85,31180,28703,343,80,31199,26,4,0,0,0,0,0,0,0,16,17,15,19,7,1,0,0,1,0,0,0,15,19,16,1630490319967,red,NA1_4029098758
175,30860,370,88,34268,24716,306,85,26984,32,6,1,1,0,0,1,1,0,19,16,9,26,8,0,0,0,0,0,0,0,9,11,19,1628837572006,blue,NA1_4009381326
176,27425,357,82,28653,20942,220,94,22062,28,4,0,1,0,0,1,1,0,8,9,6,16,1,0,0,0,1,0,0,0,6,8,8,1627107123420,blue,NA1_3987695838
177,27566,361,97,31251,24058,306,88,26663,25,4,0,1,0,0,1,1,0,15,14,8,20,4,1,0,0,0,0,0,0,8,16,15,1631991739690,blue,NA1_4045925264
178,26844,318,61,26379,29751,356,96,30825,28,9,0,0,1,0,2,1,0,11,10,16,22,10,1,0,0,0,1,0,0,16,19,11,1632450735299,blue,NA1_4050851812
179,28825,311,80,30614,24405,338,87,29164,25,5,0,0,0,0,1,1,0,17,20,10,22,11,0,0,1,1,0,0,0,10,11,17,1631746079209,red,NA1_4043296148
180,25128,337,71,28122,27205,268,75,28117,25,5,0,0,0,0,0,0,0,12,8,16,29,5,0,0,0,1,0,0,0,16,16,12,1629316633183,red,NA1_4015152965
181,24145,289,75,27709,24314,323,84,28093,25,6,0,0,1,0,0,0,0,10,10,9,24,6,0,0,0,0,0,1,0,9,15,10,1629087228065,blue,NA1_4012404103
182,25557,364,89,30356,26383,404,103,30297,20,10,1,0,0,0,1,0,0,9,9,8,28,5,0,0,0,0,0,0,0,8,8,9,1630618479832,blue,NA1_4030504493
183,26749,328,72,28028,22579,313,88,26485,22,6,0,0,0,0,1,0,0,12,23,7,26,9,0,1,1,0,0,0,0,7,3,12,1627102385812,blue,NA1_3987602642
184,27444,307,86,28882,28627,321,64,28634,24,4,0,1,1,0,1,0,0,14,14,16,22,8,0,0,0,0,1,1,0,16,15,14,1626912969093,blue,NA1_3984978554
185,27985,371,38,30685,25149,349,86,27240,27,4,0,0,0,0,1,0,0,16,14,9,19,4,0,1,0,0,0,0,0,9,14,16,1629009321939,red,NA1_4011561465
186,27836,304,76,28887,26507,317,72,28731,30,4,0,1,0,0,0,1,0,13,22,12,28,9,0,0,0,0,1,0,0,12,12,13,1631739349147,blue,NA1_4043266504
187,22583,291,78,26209,28220,339,81,31945,26,7,0,1,0,1,0,0,0,7,5,18,29,6,0,0,0,0,0,0,0,18,15,7,1630259855055,red,NA1_4026437751
188,27916,248,80,26817,29261,301,61,26420,25,3,1,1,0,0,1,0,0,16,23,18,22,5,0,0,0,0,2,1,0,18,17,16,1628139571142,blue,NA1_4000914271
189,26071,294,55,27793,34158,311,104,33361,21,7,0,0,1,0,0,0,0,11,11,28,28,4,0,0,0,1,1,1,0,28,28,11,1629524341472,red,NA1_4017705928
190,31813,381,67,29959,23735,274,96,26581,28,10,0,1,0,1,3,0,0,17,22,10,28,7,0,0,0,0,0,1,0,10,9,17,1631500957854,blue,NA1_4040789725
191,25747,313,88,28342,26680,282,93,29505,18,10,0,0,0,1,0,0,0,13,12,15,31,3,0,0,1,0,0,1,0,15,14,13,1628136751423,blue,NA1_4000856497
192,26845,340,80,30838,22400,319,72,27177,26,8,0,0,1,0,1,1,0,14,7,6,22,5,0,0,0,0,0,0,0,6,7,14,1630298667435,blue,NA1_4027025021
193,28307,339,104,30502,24825,345,84,29085,24,6,1,1,0,0,2,1,0,13,8,8,20,5,0,0,0,0,0,0,0,8,7,13,1630825923511,blue,NA1_4033066576
194,28202,377,97,30844,23626,332,77,27494,29,10,0,1,0,1,1,1,0,13,18,7,30,7,0,0,0,0,0,0,0,7,12,13,1630219164051,blue,NA1_4026176523
195,24595,322,92,28838,25492,335,89,28723,21,4,0,0,0,0,0,1,0,7,10,7,28,3,0,0,0,1,0,0,0,7,5,7,1632091085995,red,NA1_4046966971
