,blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
348,32680,315,80,30168,25881,237,76,26813,31,4,1,0,0,0,1,1,0,23,26,16,28,4,0,0,1,0,0,0,0,16,13,23,1615572890446,red,NA1_3822401465
349,30407,336,116,30957,23531,332,48,26258,28,6,0,0,1,0,1,1,0,15,14,7,22,4,0,0,0,0,0,0,0,7,14,15,1615159745521,blue,NA1_3815817091
350,24484,317,76,27434,28422,382,91,30626,24,1,0,0,1,0,0,0,0,8,9,12,17,4,0,0,0,0,0,0,0,12,17,8,1616429020163,blue,NA1_3837001104
351,30081,249,64,29799,23321,181,68,25329,23,3,0,0,0,1,0,0,0,25,25,13,19,4,1,0,0,0,0,0,0,13,8,25,1615870373323,blue,NA1_3827627779
352,28244,320,76,28976,27545,286,87,28181,25,3,0,0,1,0,0,0,0,15,14,14,30,1,0,0,0,1,0,0,0,14,15,15,1616017981884,red,NA1_3830119612
353,26129,316,83,27857,26095,324,74,29081,27,1,1,0,0,1,0,0,0,12,14,13,19,4,0,0,0,0,1,1,0,13,20,12,1613586991222,red,NA1_3791923846
354,30873,363,49,31458,23809,315,105,26676,27,4,0,0,0,0,3,1,0,20,20,8,24,5,1,0,0,0,0,0,0,8,8,20,1616123294960,blue,NA1_3832006423
355,28256,254,86,28888,27358,299,48,27517,29,6,0,1,0,0,1,1,0,17,19,16,24,5,0,0,0,0,0,0,0,16,19,17,1615496932193,blue,NA1_3821192326
356,27273,259,85,27735,23709,327,67,26035,23,7,0,0,0,1,1,1,0,15,21,9,18,7,0,1,0,0,0,0,0,9,11,15,1614387236669,blue,NA1_3804227128
357,28907,329,91,30169,22209,338,76,27269,31,10,0,0,0,0,1,1,0,14,20,7,28,6,0,0,1,0,0,0,0,7,5,14,1614892511625,blue,NA1_3811623099
358,31815,337,60,31485,25344,240,72,26268,25,2,0,1,0,0,1,0,0,22,20,12,18,5,0,0,0,0,0,0,0,12,16,22,1613497192771,blue,NA1_3790453864
359,32306,335,63,32086,23779,282,72,27261,19,2,0,0,1,0,3,1,0,19,28,11,19,1,0,0,0,1,0,0,0,11,11,19,1615506558212,blue,NA1_3821283110
360,27647,316,92,28150,25633,314,26,25799,23,3,0,0,0,0,1,1,0,14,19,13,27,5,1,0,1,0,1,0,0,13,8,14,1613872028975,red,NA1_3796482008
361,26845,331,76,30282,24219,335,112,28735,25,6,0,0,0,1,0,0,0,16,21,7,20,4,1,0,0,0,0,0,0,7,5,16,1615847948084,blue,NA1_3827161825
362,25853,332,73,27938,25179,305,80,27086,19,4,0,0,0,0,0,0,0,11,8,10,26,6,0,1,0,1,0,1,0,10,13,11,1616003798128,red,NA1_3829966073
363,25546,278,72,28324,29729,338,124,31152,23,4,0,0,0,0,1,0,0,13,11,16,22,8,0,0,1,0,1,0,0,16,13,13,1613499427808,red,NA1_3790429314
364,25223,270,81,28838,25999,344,87,28117,23,7,0,0,0,0,1,1,0,12,13,12,27,7,0,1,1,0,1,0,0,12,10,12,1614464440421,blue,NA1_3805256452
365,27374,294,67,29995,23929,258,92,27177,20,2,0,1,0,0,2,0,0,15,10,11,16,2,0,0,1,0,0,0,0,11,12,15,1616354909601,blue,NA1_3835636029
366,22156,257,58,25541,29780,274,87,31878,20,10,0,0,0,0,0,0,0,9,9,21,28,1,1,0,1,0,1,0,0,21,26,9,1615872578574,red,NA1_3827713077
367,34369,313,58,29656,21821,188,77,20590,16,2,0,1,0,0,4,0,0,24,29,10,11,0,0,0,1,0,1,0,0,10,8,24,1615504762079,blue,NA1_3821277616
368,25987,368,109,29334,24705,287,54,28040,21,7,0,0,0,0,0,1,0,8,6,11,29,5,0,0,1,0,0,0,0,11,18,8,1613510982358,blue,NA1_3790606596
369,25487,313,75,27050,29349,351,93,30191,30,6,0,0,0,1,0,0,0,7,9,14,27,6,0,0,0,0,2,0,0,14,13,7,1614122684862,red,NA1_3800320265
370,19243,221,65,21508,30315,281,104,30579,21,1,0,0,0,0,0,0,0,4,6,20,16,6,0,1,0,1,2,1,0,20,24,4,1616303974947,red,NA1_3834954548
371,30290,341,100,31939,23709,337,64,26339,24,5,0,0,1,1,1,0,0,19,27,5,26,7,0,0,0,0,0,1,0,5,8,19,1613631141874,blue,NA1_3792724045
372,27040,326,56,28136,26729,310,104,28969,17,4,0,1,0,1,0,0,0,15,19,10,25,3,0,0,0,0,2,1,0,10,8,15,1616206727502,blue,NA1_3833145192
373,24352,301,76,27388,22317,319,56,27458,24,4,0,0,1,0,0,0,0,10,14,7,16,7,0,0,0,0,0,0,0,7,6,10,1616183391486,blue,NA1_3832794970
374,28020,329,83,26987,25072,268,84,27921,28,5,1,0,0,0,3,1,0,11,12,11,26,6,0,0,0,1,0,0,0,11,10,11,1615309133008,red,NA1_3818023626
375,28519,300,91,30784,31031,337,91,31883,19,7,0,1,0,0,1,0,0,14,13,20,30,6,0,0,0,0,1,1,0,20,11,14,1615311972315,blue,NA1_3818026925
376,23981,265,85,26205,24391,291,102,27516,29,13,1,0,1,0,2,1,0,6,3,9,30,10,0,0,0,0,0,0,0,9,10,6,1614646509504,red,NA1_3808292782
